產業別,代號,名稱,市值(億)
保險業,"=""2867""",三商壽,379.0
保險業,"=""2850""",新產,318.0
保險業,"=""2851""",中再保,207.0
光電業,"=""3008""",大立光,3076.0
光電業,"=""3481""",群創,1266.0
光電業,"=""2409""",友達,1247.0
其他業,"=""5871""",中租-KY,2433.0
其他業,"=""9945""",潤泰新,1371.0
其他業,"=""9941""",裕融,691.0
其他電子業,"=""2317""",鴻海,30499.0
其他電子業,"=""2360""",致茂,1939.0
其他電子業,"=""6409""",旭隼,1702.0
化學工業,"=""4763""",材料-KY,871.0
化學工業,"=""1722""",台肥,548.0
化學工業,"=""1773""",勝一,424.0
半導體業,"=""2330""",台積電,281370.0
半導體業,"=""2454""",聯發科,20742.0
半導體業,"=""3711""",日月光投控,6941.0
塑膠工業,"=""1303""",南亞,3363.0
塑膠工業,"=""1301""",台塑,2960.0
塑膠工業,"=""1326""",台化,2177.0
居家生活,"=""8464""",億豐,1278.0
居家生活,"=""9911""",櫻花,183.0
居家生活,"=""9924""",福興,111.0
建材營造業,"=""2542""",興富發,888.0
建材營造業,"=""2504""",國產,658.0
建材營造業,"=""2540""",愛山林,564.0
數位雲端,"=""8454""",富邦媒,949.0
數位雲端,"=""3130""",一零四,72.9
數位雲端,"=""6689""",伊雲谷,62.6
橡膠工業,"=""2105""",正新,1499.0
橡膠工業,"=""2101""",南港,403.0
橡膠工業,"=""2106""",建大,285.0
水泥工業,"=""1101""",台泥,2435.0
水泥工業,"=""1102""",亞泥,1647.0
水泥工業,"=""1104""",環泥,205.0
汽車工業,"=""2207""",和泰車,3560.0
汽車工業,"=""2258""",鴻華先進-創,731.0
汽車工業,"=""1319""",東陽,636.0
油電燃氣業,"=""6505""",台塑化,4344.0
油電燃氣業,"=""8926""",台汽電,319.0
油電燃氣業,"=""9937""",全國,206.0
玻璃陶瓷,"=""1802""",台玻,551.0
玻璃陶瓷,"=""1810""",和成,52.0
玻璃陶瓷,"=""1806""",冠軍,39.4
生技醫療業,"=""6446""",藥華藥,2163.0
生技醫療業,"=""6919""",康霈*,821.0
生技醫療業,"=""6472""",保瑞,793.0
紡織纖維,"=""1402""",遠東新,1898.0
紡織纖維,"=""1476""",儒鴻,1561.0
紡織纖維,"=""1477""",聚陽,849.0
綠能環保,"=""6806""",森崴能源,284.0
綠能環保,"=""6873""",泓德能源,250.0
綠能環保,"=""6869""",雲豹能源,246.0
航運業,"=""2603""",長榮,4741.0
航運業,"=""2615""",萬海,2646.0
航運業,"=""2609""",陽明,2507.0
觀光餐旅,"=""2707""",晶華,255.0
觀光餐旅,"=""2704""",國賓,215.0
觀光餐旅,"=""2727""",王品,201.0
證券業,"=""6005""",群益證,484.0
證券業,"=""2855""",統一證,395.0
證券業,"=""6024""",群益期,120.0
貿易百貨業,"=""2912""",統一超,2828.0
貿易百貨業,"=""2915""",潤泰全,883.0
貿易百貨業,"=""2903""",遠百,371.0
資訊服務業,"=""6214""",精誠,385.0
資訊服務業,"=""3029""",零壹,173.0
資訊服務業,"=""2480""",敦陽科,137.0
通信網路業,"=""2412""",中華電,9542.0
通信網路業,"=""3045""",台灣大,4263.0
通信網路業,"=""2345""",智邦,3246.0
造紙工業,"=""1907""",永豐餘,519.0
造紙工業,"=""1904""",正隆,260.0
造紙工業,"=""1905""",華紙,204.0
運動休閒,"=""9910""",豐泰,1402.0
運動休閒,"=""9904""",寶成,1174.0
運動休閒,"=""6890""",來億-KY,984.0
金控業,"=""2881""",富邦金,12531.0
金控業,"=""2882""",國泰金,10078.0
金控業,"=""2891""",中信金,7299.0
銀行業,"=""2801""",彰銀,1983.0
銀行業,"=""5876""",上海商銀,1911.0
銀行業,"=""2834""",臺企銀,1384.0
鋼鐵工業,"=""2002""",中鋼,3650.0
鋼鐵工業,"=""2027""",大成鋼,864.0
鋼鐵工業,"=""2006""",東和鋼鐵,542.0
電器電纜,"=""1605""",華新,1161.0
電器電纜,"=""1609""",大亞,355.0
電器電纜,"=""1608""",華榮,188.0
電子通路業,"=""3702""",大聯大,1269.0
電子通路業,"=""3036""",文曄,1261.0
電子通路業,"=""2347""",聯強,1208.0
電子零組件業,"=""2308""",台達電,10416.0
電子零組件業,"=""2327""",國巨,2890.0
電子零組件業,"=""3037""",欣興,2600.0
電機機械,"=""1590""",亞德客-KY,1854.0
電機機械,"=""1519""",華城,1852.0
電機機械,"=""1503""",士電,1120.0
電腦及週邊設備業,"=""2382""",廣達,12554.0
電腦及週邊設備業,"=""2357""",華碩,4561.0
電腦及週邊設備業,"=""6669""",緯穎,3875.0
食品工業,"=""1216""",統一,4943.0
食品工業,"=""1229""",聯華,1021.0
食品工業,"=""1210""",大成,460.0
